dataset,category,question,answer_only,answer_conf,explanation,self_reported_confidence,mean_chosen_token_prob,mean_logit_margin,gold_answer,gold_explanation,is_correct,notes
CoSE,,"Where would you put silverware once they've dried, but you're not ready to use them.",In the dish rack.,In the dish rack.,The dish rack is a common place to store silverware when it has been washed and dried but not yet ready for use.,0.9,0.7979487326855843,4.267840128678542,cupboard,cupboard - wikipedia,FALSE,Model says dish rack; gold is cupboard
CoSE,,Billy was a student taking a course in communications.  Where might he be taking his classes?,Billy might be taking his classes in a classroom on the campus of his school or university.,Communications,Billy is a student taking a course in communications.,0.99,0.7881263886627398,4.544080131932309,university,a university is where one takes courses.,TRUE,Mentions university; semantically correct
CoSE,,When people travel they usually don't have to worry about medical emergencies because hospitals are where?,Hospitals are usually located in cities where people travel to.,hospitals are where,"Hospitals are typically located in cities and towns where people live, work, and travel. This makes them easily accessible in case of a medical emergency.",1,0.7630920427687028,3.8331298267140106,every state,alphabetical list of 50 states,FALSE,Model says cities; gold is every state
CoSE,,The person changed because what demanded it?,The person changed because of a personal realization.,,,,0.7195638907452424,3.2655850887298583,tradition,principle way of acting,FALSE,No answer provided
CoSE,,You can go to a sporting goods store to buy what uniform tops?,You can go to a sporting goods store to buy jerseys.,jerseys,You can go to a sporting goods store to buy jerseys.,0.99,0.8358936188994227,6.565862037040092,jerseys,shop sports jerseys at fanatics.com.,TRUE,Exact match on jerseys
CoSE,,"Rather than appreciating the rolling hills, what seemed plain to the angst filled teenager?",The teenager saw only the obstacles and challenges in the rolling hills.,The rolling hills seemed plain to the angst filled teenager.,The rolling hills seemed plain to the angst filled teenager.,1,0.7963794971767225,4.604295764053077,countryside,countryside seemed plain to the angst filled teenager,FALSE,Model says obstacles in hills; gold is countryside
CoSE,,Where is an empty dish usually stored?,An empty dish is usually stored in the dish rack.,In the kitchen,"An empty dish is usually stored in the kitchen, as it is the most convenient and logical place to keep dishes that are not currently in use.",0.95,0.7496358509741577,3.910810807,kitchen cabinet,rivers flow trough valleys.,FALSE,Model says dish rack; gold is kitchen cabinet
CoSE,,"The woman was yelling obscenities in public, and while it was entertaining for people passing by, what did her husband feel?",Her husband likely felt embarrassed and ashamed.,angry,It is likely that the husband would feel angry because his wife's behavior is inappropriate and disrespectful.,0.9,0.8156158556135333,4.672742610075036,embarrassment,such a thing would be embarrassing,TRUE,Embarrassed semantically matches embarrassment
CoSE,,"Sam tried to go to sleep, but he couldn't.  He suffered from what?",Insomnia.,insomnia,"Sam tried to go to sleep, but he couldn't.  He suffered from what?",0.99,0.8994023363764693,6.161461923180557,wakefulness,"when you try to go to sleep, but can't you are awake.",FALSE,Insomnia and wakefulness are different conditions
CoSE,,"Sally liked hair, and wanted to rub some every single day. However, she has no skill at cutting hair at all, and no interest in doing so.  What might she get to let her rub hair?",Sally might get a hairbrush to let her rub hair.,She might get a hairbrush.,"Sally has no skill at cutting hair and no interest in doing so. Therefore, the most likely thing she would get to let her rub hair is a hairbrush.",0.9,0.8175812900066376,4.549122121,mammals,animals constituting the class mammalia,FALSE,Model says hairbrush; gold is mammals
CoSE,,When a farmer is gaining more land what is the expected positive consequence?,The expected positive consequence is an increase in production and income.,Expansion of farmland,"As the farmer gains more land, they can produce more crops and potentially increase their revenue.",0.95,0.7641054029975619,4.085656666,making more money,more land leaders to more money,TRUE,Income increase aligns with making more money
CoSE,,Where does the cuisine from a mexican restaurant originate?,Mexican cuisine originates from Mexico.,Mexico,The cuisine from a Mexican restaurant originates from Mexico.,0.99,0.8600596303448957,5.2830001887153175,mexico,‎mexico city‎; 19°26′n ...,TRUE,Mexico mentioned; correct
CoSE,,"What room, that doesn't normally have a side chair, helps you work from home?",The kitchen.,kitchen,The kitchen is often used as a makeshift office space when working from home.,0.9,0.7787631951473855,5.045075236140071,office,office chair is helps you work from home,FALSE,Model says kitchen; gold is office
CoSE,,Where do people go to gain knowledge?,"People go to school, libraries, and online resources to gain knowledge.",,,,0.8523578435182572,5.4053006331125895,classroom,classroom apartment museum,FALSE,No answer provided
CoSE,,Where in your home would you store a satchel?,"A satchel could be stored in a coat closet, under a bed, or in a designated storage area.",Living room,Satchels are often used for carrying items and can be stored in a living room for easy access.,0.8,0.7542093472425327,3.980186284974564,room,this word is most relavant,TRUE,Storage areas mentioned; room is acceptable
CoSE,,What might a person heading overseas do?,"A person heading overseas might research their destination, obtain necessary travel documents, pack appropriately, and arrange for transportation and accommodation.",A person heading overseas might do the following:,"They may research their destination, obtain necessary travel documents, pack appropriately, and arrange transportation.",0.9,0.7180806884299153,3.86147694,board ship,naval boarding - wikipedia,FALSE,Model gives travel prep steps; gold is board ship
CoSE,,Where can you commonly find spirits within a house?,"Spirits can commonly be found within a house in areas such as the kitchen, living room, bedroom, and bathroom.","Spirits can commonly be found in the kitchen, living room, and bedrooms of a house.",Spirits are often associated with these areas due to their high energy levels and the presence of people in these rooms.,0.95,0.810552629,4.677380308508873,liquor cabinet,liquor cabinet furniture products for sale,FALSE,Model says rooms; gold is liquor cabinet
CoSE,,Jogging can do what for your body?,"Jogging can improve cardiovascular health, increase muscle strength, and reduce stress.",improve cardiovascular health,"Jogging can improve cardiovascular health by strengthening the heart and lungs, lowering blood pressure, and reducing the risk of heart disease.",0.95,0.8430083457912717,5.457028712545123,improved health,it is often used to achieve such outcomes,TRUE,Cardiovascular health aligns with improved health
CoSE,,If you legs are tired and you need to have a rest you should do what?,Lie down or sit down to rest your legs.,rest,If you legs are tired and you need to have a rest you should do what? Rest.,0.99,0.8299220884457613,5.090137213,sit down,sitting is the best thing in the situation.,TRUE,Sit down matches gold answer
CoSE,,"The dental office handled a lot of patients who experienced traumatic mouth injury, where were these patients coming from?","The patients were coming from various accidents such as car crashes, sports injuries, and workplace accidents.","The patients were coming from various sources including accidents, sports injuries, and assaults.","According to the dental records, the patients had different types of injuries such as broken teeth, missing teeth, and gum injuries. Some of them reported being in accidents, while others said they sustained injuries during sports or as a result of assaults.",0.9,0.7545294774903192,3.8199512481689455,hospital,i have to admit on the hospital,FALSE,Model says accidents; gold is hospital
CoSE,,John finds that understanding the people around him better leads to deeper what?,connections.,relationships,John finds that understanding the people around him better leads to deeper relationships.,0.99,0.8635143944195338,6.379942703,friendships,you make friends by talking with others,TRUE,Connections semantically close to friendships
CoSE,,Sam spent most of his time standing up.  His job was hectic and he never got any rest. But he was the best cashier at his workplace.    Where might he work?,Sam might work at a busy store or supermarket as a cashier.,a grocery store or a convenience store,The information provided suggests that Sam works in a retail setting where he stands up for long periods of time. Grocery stores and convenience stores are common examples of retail establishments where cashiers stand for extended periods.,0.9,0.8004257370614343,4.517157170507643,supermarket,sam spent most of his time standing up. his job was supermarket never got any rest. but he was the best cashier at his workplace. where might he work,TRUE,Supermarket mentioned; correct
CoSE,,To what part of your home is your morning paper delivered?,The front porch.,front door,The morning paper is delivered to the front door.,0.95,0.8075408478898387,4.929535711965253,front porch,the front porch southern home cooking,TRUE,Exact match on front porch
CoSE,,The faucet on the wall sprayed water high into the air.  It caught the light from the window and made a rainbow.  It was very annoying and gross to people who came into this what?,The room.,bathroom,The faucet on the wall sprayed water high into the air.  It caught the light from the window and made a rainbow.  It was very annoying and gross to people who came into this bathroom.,0.99,0.9110910613352144,7.527524719775562,restroom,a toilet in a public building.,FALSE,Model says room; gold is restroom
CoSE,,"If you did well on the test, you might get an A as a what?",grade,A grade,"If you did well on the test, you might get an A as a grade.",0.95,0.8671976189280666,5.001254126083019,school grade,doing good in exams gives better grade,TRUE,Grade matches school grade
CoSE,,What do people break into a brownstone to steal?,"Valuables such as jewelry, electronics, and cash.",jewels,People often break into a brownstone to steal valuable items such as jewelry.,0.95,0.7857467997315768,5.074064692935428,ring,stealing a ring would mean you had to break into an actual building.,FALSE,Model gives general valuables; gold is ring
CoSE,,"The spoiled child's playroom was massive, but only one of many rooms in the what?",Mansion,house,"The spoiled child's playroom was massive, but only one of many rooms in the house.",0.99,0.8870747789092686,6.380778437075407,big house,a spoiled child would have a playroom inside of a big house.,TRUE,Mansion semantically equivalent to big house
CoSE,,Where can a mouse be found in a box?,In a box.,In a mouse hole,A mouse hole is a small opening in a box where a mouse can enter and exit. It is typically found near the bottom of the box or in the corners.,0.95,0.7667328353439059,3.7293080261775424,computer store,computer store is the only place where we are likely to found a mouse.,FALSE,Model says in a box; gold is computer store
CoSE,,What could a driver do that could distract him or her while he or she is in a driving car?,"A driver could use a mobile phone, eat, drink, adjust the radio, or talk to passengers while driving.","A driver could use a mobile phone, eat, drink, adjust the radio, or talk to passengers while driving a car.","A driver could use a mobile phone, eat, drink, adjust the radio, or talk to passengers while driving a car.",0.95,0.8324525770933732,4.887851203697315,smoke,smoke driver do that could distract him or her while he or she is in a driving car,FALSE,Model lists distractions; gold answer is smoke
CoSE,,What does someone do when there are dishes astray in the kitchen?,Someone cleans up the dishes.,clean up,"When dishes are left astray in the kitchen, someone typically cleans them up to keep the kitchen tidy and hygienic.",0.95,0.799404714,4.985920594663036,washing dishes,this word was most relevant.,TRUE,Cleaning dishes matches washing dishes
CoSE,,Bob asked James to be an alibi witness for him but James is worried about committing perjury. He's afraid he'll be found out and he'll what?,He'll be punished for perjury.,be punished by law,Bob asked James to be an alibi witness for him but James is worried about committing perjury. He's afraid he'll be found out and he'll what?,0.95,0.9076356226983278,7.079337120056152,go to jail,a cascade of reactions in your brain,FALSE,Punished is vague; gold is go to jail
CoSE,,"If a student wishes to learn about things that have already happened, what should they do?",They should study history.,Read history books,History books provide detailed information about past events and can help students understand the context and significance of these events.,0.9,0.7805783670573008,4.202377546401251,study history,this word was most relevant,TRUE,Exact match on study history
CoSE,,"I wanted to stand up, what would I use to do this?",I would use my legs.,stand,Standing up requires a physical action of moving from a seated position to an upright position.,0.99,0.7096791051720318,3.7528255864193567,feet,to stand up in sitting,FALSE,Model says legs; gold is feet
CoSE,,"Rocks can be found on many planets and moons, but we know of the widest variety of them on the what?",Earth,Earth,"Rocks can be found on many planets and moons, but we know of the widest variety of them on Earth.",0.99,0.9043679571151734,7.015252151489258,surface of earth,health complications,TRUE,Earth matches surface of earth
CoSE,,Where in a town would you put your shed?,In the backyard.,Backyard,"The most logical place to put a shed is in the backyard, as it provides privacy and is usually away from the main house.",0.9,0.819535253,4.904114155059165,backyard,this word is most relavant,TRUE,Exact match on backyard
CoSE,,Where does a marmoset feel safest?,"In a tree, high up and out of reach.",tree,Marmosets are arboreal animals and feel safest in trees.,0.9,0.8205659956567817,5.676430357827081,burrow,"while marmots live in mountain and wilderness areas, their homes are underground burrows.",FALSE,Model says tree; gold is burrow
CoSE,,"I pay someone in a ticket booth for tickets to ""The Greatest Showman.""  Where am I likely to be?",At a movie theater.,Amusement Park,The Greatest Showman is a musical film released in 2017. It tells the story of P.T. Barnum and how he founded the Barnum & Bailey Circus. The film was inspired by the real-life story of the circus's founding. It is likely that you would be in an amusement park if you paid someone in a ticket booth for tickets to 'The Greatest Showman'.,0.99,0.8571377188986183,5.686303815,movie theatre,movie theater have ticket booth,TRUE,Movie theater matches movie theatre
CoSE,,What prevents someone from going to bed?,"Various reasons such as work, socializing, personal interests, and health issues can prevent someone from going to bed.","There are many reasons why someone may not go to bed, including work, social obligations, personal preferences, and health conditions.","There are many reasons why someone may not go to bed, including work, social obligations, personal preferences, and health conditions.",0.95,0.8282826574168344,5.405075294384058,insomnia,this is better option,FALSE,Model gives general reasons; gold is insomnia
CoSE,,If you hit someone while driving what could happen to that person?,They could be injured or killed.,They could be injured or killed,"If you hit someone while driving, they could suffer from injuries such as whiplash, broken bones, or internal bleeding. In severe cases, they could also be killed.",0.95,0.7758744031679435,4.189358992654769,may die,"the force with which you hit someone is likely to potentially kill them, though it's not a certainty.",TRUE,Killed semantically aligns with may die
CoSE,,"Because it was only two bedroom, one of the three roommates slept on the couch in the where?",living room,living room,The only two bedroom apartment means that one of the roommates had to sleep on the couch in the living room.,0.9,0.8104407328123949,4.433224600188586,apartment,sofas are present here.,FALSE,Model says living room; gold is apartment
CoSE,,"Committing the murder wore on the man, because of his what he swore he could still hear the man's heart beating?",conscience,guilt,The man is feeling guilty for committing the murder because he can still hear the victim's heart beating.,0.99,0.7902228597862025,4.520426710446675,guilty conscience,his conscious kept wearing him down.,TRUE,Conscience matches guilty conscience
CoSE,,"The crab was scuttling but strained when he moved, what was impeding him?",A piece of string was tied around his claw.,The crab was carrying a heavy load.,The crab's movement was impeded because he was carrying a heavy load.,0.9,0.7960205189883709,4.548861365,beach sand,"beach sand scuttling but strained when he moved, what was impeding him",FALSE,Model says string around claw; gold is beach sand
CoSE,,Where can you find a barber shop north of the U.S.?,"In Canada, there are many barber shops located throughout the country, both in cities and smaller towns.",Canada,"Barber shops can be found in many cities across Canada, including Toronto, Vancouver, and Montreal.",0.99,0.7981571802278844,4.188610402549186,canada,canada can you find a barber shop north of the u.s.?,TRUE,Canada mentioned; correct
CoSE,,"Bob lights a fire in the wood stove in the winter, what does he want?",He wants warmth.,He wants warmth,Bob lights a fire in the wood stove in the winter to provide warmth for himself and his surroundings.,0.95,0.8060764587202738,4.445960089217785,warm house,five ways to keep your home,TRUE,Warmth aligns with warm house
CoSE,,Where should you find a school in?,Look for schools in your local area or search online for schools in your desired location.,near your home,The best place to find a school is near your home so you can easily get there every day.,0.9,0.7706384328859193,4.192095870063419,every city,this word is most relavant,FALSE,Model gives search advice; gold is every city
CoSE,,How can the shape of wood be changed?,"The shape of wood can be changed through carving, sanding, sawing, or by using heat treatment processes like kiln drying.",,,,0.893517921,5.682593297958374,carved,how can the shape of wood be changed carved,FALSE,No answer provided
CoSE,,"People often have to take medicine, they tend to keep it where?",Medicine is often kept in a medicine cabinet or drawer.,medicine cabinet,"People often keep their medicine in the medicine cabinet, which is usually located in the kitchen or bathroom.",0.95,0.8103055915860242,4.463918020558912,bathroom,people can keep the medicine in bathroom only,FALSE,Model says medicine cabinet; gold is bathroom
CoSE,,"I have something in my head I want to share, what ways can I do that?","You can write it down, speak it out loud, or share it with someone you trust.","You can share your thoughts through speaking, writing, drawing, or dancing.","There are various ways to share your thoughts, including verbally expressing them, putting them down on paper or canvas, or physically moving your body to convey them.",0.95,0.8225619217879335,4.634558006071709,speak information,english language - wikipedia,TRUE,Mentions speaking; aligns with speak information
