row_id,is_correct_ans_only_Claude,is_correct_ans_conf_Claude,judge_notes_Claude
1,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
2,True,False,ans_only: Semantically equivalent to gold (mentions university/campus). | ans_conf: Different entity/meaning than gold.
3,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
4,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Answer missing/blank.
5,True,True,ans_only: Exact match to gold. | ans_conf: Exact match to gold.
6,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
7,False,False,ans_only: Different entity/meaning than gold (dish rack ≠ kitchen cabinet). | ans_conf: Different entity/meaning than gold.
8,True,False,ans_only: Semantically equivalent to gold (embarrassed/ashamed ≈ embarrassment). | ans_conf: Different entity/meaning than gold.
9,True,True,ans_only: Semantically equivalent to gold (insomnia ≈ wakefulness). | ans_conf: Semantically equivalent to gold.
10,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
11,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
12,True,True,ans_only: Exact match to gold. | ans_conf: Gold token/phrase appears in answer.
13,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
14,True,False,ans_only: Semantically equivalent to gold (school/classroom are closely related). | ans_conf: Answer missing/blank.
15,True,True,ans_only: Semantically equivalent to gold (storage area is a room). | ans_conf: Semantically equivalent to gold.
16,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
17,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
18,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
19,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
20,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
21,False,False,ans_only: Different entity/meaning than gold (connections ≠ friendships). | ans_conf: Different entity/meaning than gold.
22,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
23,True,False,ans_only: Semantically equivalent to gold (front porch ≈ porch). | ans_conf: Different entity/meaning than gold.
24,True,True,ans_only: Semantically equivalent to gold (restroom ≈ bathroom). | ans_conf: Semantically equivalent to gold.
25,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
26,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
27,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
28,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
29,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
30,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
31,False,False,ans_only: Different entity/meaning than gold (punished ≠ go to jail specifically). | ans_conf: Different entity/meaning than gold.
32,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
33,False,False,ans_only: Different entity/meaning than gold (legs ≠ feet). | ans_conf: Different entity/meaning than gold.
34,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
35,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
36,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
37,True,False,ans_only: Semantically equivalent to gold. | ans_conf: Different entity/meaning than gold.
38,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
39,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
40,False,False,ans_only: Different entity/meaning than gold (living room ≠ apartment). | ans_conf: Different entity/meaning than gold.
41,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
42,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
43,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Exact match to gold.
44,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
45,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
46,True,False,ans_only: Semantically equivalent to gold (carving/sanding/sawing includes carved). | ans_conf: Answer missing/blank.
47,False,False,ans_only: Different entity/meaning than gold (medicine cabinet ≠ bathroom). | ans_conf: Different entity/meaning than gold.
48,True,True,ans_only: Semantically equivalent to gold (write/speak ≈ speak information). | ans_conf: Semantically equivalent to gold.
49,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
50,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
51,True,False,ans_only: Semantically equivalent to gold. | ans_conf: Different entity/meaning than gold.
52,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
53,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
54,True,False,ans_only: Semantically equivalent to gold. | ans_conf: Different entity/meaning than gold.
55,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
56,True,False,ans_only: Semantically equivalent to gold (rabbit warren ≈ maze of burrows). | ans_conf: Different entity/meaning than gold (rabbit hole ≠ rabbit warren).
57,True,True,ans_only: Exact match to gold. | ans_conf: Exact match to gold.
58,True,False,ans_only: Semantically equivalent to gold (boating/sailing ≈ sail boats). | ans_conf: Different entity/meaning than gold.
59,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
60,True,True,ans_only: Exact match to gold. | ans_conf: Exact match to gold.
61,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
62,True,True,ans_only: Exact match to gold. | ans_conf: Exact match to gold.
63,False,False,ans_only: Different entity/meaning than gold (sad ≠ regret). | ans_conf: Different entity/meaning than gold.
64,False,True,ans_only: Different entity/meaning than gold (answer says nationality not specified). | ans_conf: Semantically equivalent to gold.
65,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
66,True,False,ans_only: Semantically equivalent to gold. | ans_conf: Different entity/meaning than gold.
67,False,False,ans_only: Different entity/meaning than gold (disappointment ≠ anger). | ans_conf: Different entity/meaning than gold.
68,False,False,ans_only: Different entity/meaning than gold (guest room ≠ spare room). | ans_conf: Different entity/meaning than gold.
69,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
70,True,False,ans_only: Semantically equivalent to gold (mansion ≈ big house). | ans_conf: Different entity/meaning than gold.
71,True,False,ans_only: Semantically equivalent to gold (ideas/insights are close). | ans_conf: Different entity/meaning than gold.
72,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
73,True,False,ans_only: Semantically equivalent to gold (city/town). | ans_conf: Answer missing/blank.
74,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
75,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
76,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
77,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
78,True,True,ans_only: Semantically equivalent to gold (ship ≈ boat). | ans_conf: Semantically equivalent to gold.
79,False,False,ans_only: Different entity/meaning than gold (joint pain ≠ heart attacks). | ans_conf: Different entity/meaning than gold.
80,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
81,False,True,ans_only: Different entity/meaning than gold (drugstore ≠ shop per gold). | ans_conf: Semantically equivalent to gold.
82,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
83,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
84,False,False,ans_only: Different entity/meaning than gold (theaters ≠ opera). | ans_conf: Different entity/meaning than gold.
85,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
86,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
87,False,False,ans_only: Different entity/meaning than gold (fabric store ≠ tailor shop). | ans_conf: Different entity/meaning than gold.
88,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
89,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
90,False,False,ans_only: Different entity/meaning than gold. | ans_conf: Different entity/meaning than gold.
91,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
92,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
93,False,False,ans_only: Different entity/meaning than gold (cheating ≠ count/counting cards). | ans_conf: Different entity/meaning than gold.
94,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Semantically equivalent to gold.
95,True,True,ans_only: Semantically equivalent to gold. | ans_conf: Gold token/phrase appears in answer.
